Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered,Precautionary Dose Administered
26/07/2021,Goa,1023685,253371,1277056,
26/07/2021,Gujarat,24295325,7517929,31813254,
26/07/2021,Haryana,8880879,2245037,11125916,
26/07/2021,Himachal Pradesh,3779130,1186148,4965278,
26/07/2021,Jammu and Kashmir,4743470,1180480,5923950,
26/07/2021,Jharkhand,7352345,1676024,9028369,
26/07/2021,Karnataka,23074120,6051663,29125783,
26/07/2021,Kerala,13129804,5683515,18813319,
26/07/2021,Ladakh,186045,63689,249734,
26/07/2021,Lakshadweep,49794,14708,64502,
26/07/2021,Madhya Pradesh,24281947,4731400,29013347,
26/07/2021,Maharashtra,31669069,10100624,41769693,
26/07/2021,Manipur,1055476,170480,1225956,
26/07/2021,Meghalaya,846505,171534,1018039,
26/07/2021,Mizoram,628521,175309,803830,
26/07/2021,Nagaland,599970,139987,739957,
26/07/2021,Odisha,11940683,3679339,15620022,
26/07/2021,Puducherry,550475,140183,690658,
26/07/2021,Punjab,7504559,1775956,9280515,
26/07/2021,Rajasthan,24031046,6570232,30601278,
26/07/2021,Sikkim,484754,145263,630017,
26/07/2021,Tamil Nadu,17581627,3852790,21434417,
26/07/2021,Telangana,11107975,3059381,14167356,
26/07/2021,Tripura,2246085,754341,3000426,
26/07/2021,Uttar Pradesh,37897452,7335881,45233333,
26/07/2021,Uttarakhand,4229674,1344347,5574021,
26/07/2021,West Bengal,19763014,8302952,28065966,
26/07/2021,Miscellaneous,1743698,1542288,3285986,
26/07/2021,Total,346516149,95396246,441912395,
27/07/2021,Andaman and Nicobar Islands,197991,88866,286857,
27/07/2021,Andhra Pradesh,15829492,5099053,20928545,
27/07/2021,Arunachal Pradesh,661611,165286,826897,
27/07/2021,Assam,8395375,1840878,10236253,
27/07/2021,Bihar,19490747,3624684,23115431,
27/07/2021,Chandigarh,592744,178913,771657,
27/07/2021,Chhattisgarh,9338796,2238776,11577572,
27/07/2021,Dadra and Nagar Haveli and Daman and Diu,538592,72646,611238,
27/07/2021,Delhi,7324923,2454517,9779440,
27/07/2021,Goa,1029078,257039,1286117,
27/07/2021,Gujarat,24554708,7634783,32189491,
27/07/2021,Haryana,8927718,2282737,11210455,
27/07/2021,Himachal Pradesh,3813969,1206368,5020337,
27/07/2021,Jammu and Kashmir,4762465,1196522,5958987,
27/07/2021,Jharkhand,7437165,1698766,9135931,
27/07/2021,Karnataka,23245158,6173347,29418505,
27/07/2021,Kerala,13234020,5708946,18942966,
27/07/2021,Ladakh,186261,64512,250773,
27/07/2021,Lakshadweep,49949,15111,65060,
27/07/2021,Madhya Pradesh,24331468,4741027,29072495,
27/07/2021,Maharashtra,31989665,10362802,42352467,
27/07/2021,Manipur,1066503,177925,1244428,
27/07/2021,Meghalaya,856357,178151,1034508,
27/07/2021,Mizoram,630725,182336,813061,
27/07/2021,Nagaland,604779,142764,747543,
27/07/2021,Odisha,12066218,3746941,15813159,
27/07/2021,Puducherry,553542,141259,694801,
27/07/2021,Punjab,7513755,1785137,9298892,
27/07/2021,Rajasthan,24136241,6709297,30845538,
27/07/2021,Sikkim,486553,146135,632688,
27/07/2021,Tamil Nadu,17833698,3896575,21730273,
27/07/2021,Telangana,11133590,3140911,14274501,
27/07/2021,Tripura,2272909,762637,3035546,
27/07/2021,Uttar Pradesh,38287571,7429885,45717456,
27/07/2021,Uttarakhand,4248463,1367633,5616096,
27/07/2021,West Bengal,19957376,8376243,28333619,
27/07/2021,Miscellaneous,1743886,1543190,3287076,
27/07/2021,Total,349324061,96832598,446156659,
28/07/2021,Andaman and Nicobar Islands,201244,89557,290801,
28/07/2021,Andhra Pradesh,15860970,5164652,21025622,
28/07/2021,Arunachal Pradesh,664317,167939,832256,
28/07/2021,Assam,8476245,1865465,10341710,
28/07/2021,Bihar,19604256,3665854,23270110,
28/07/2021,Chandigarh,597901,182807,780708,
28/07/2021,Chhattisgarh,9364017,2250601,11614618,
28/07/2021,Dadra and Nagar Haveli and Daman and Diu,542315,73151,615466,
28/07/2021,Delhi,7336542,2500705,9837247,
28/07/2021,Goa,1034482,261047,1295529,
28/07/2021,Gujarat,24563691,7639321,32203012,
28/07/2021,Haryana,9022451,2333448,11355899,
28/07/2021,Himachal Pradesh,3844633,1222392,5067025,
28/07/2021,Jammu and Kashmir,4805043,1228284,6033327,
28/07/2021,Jharkhand,7496161,1713717,9209878,
28/07/2021,Karnataka,23352332,6244511,29596843,
28/07/2021,Kerala,13292686,5717279,19009965,
28/07/2021,Ladakh,186477,65626,252103,
28/07/2021,Lakshadweep,50017,15401,65418,
28/07/2021,Madhya Pradesh,25242258,4908290,30150548,
28/07/2021,Maharashtra,32189237,10518075,42707312,
28/07/2021,Manipur,1079704,187563,1267267,
28/07/2021,Meghalaya,864207,183534,1047741,
28/07/2021,Mizoram,633507,188079,821586,
28/07/2021,Nagaland,608661,145059,753720,
28/07/2021,Odisha,12206582,3796257,16002839,
28/07/2021,Puducherry,556463,142273,698736,
28/07/2021,Punjab,7562498,1830886,9393384,
28/07/2021,Rajasthan,24360122,6948450,31308572,
28/07/2021,Sikkim,487514,146413,633927,
28/07/2021,Tamil Nadu,18046306,3938716,21985022,
28/07/2021,Telangana,11140017,3151825,14291842,
28/07/2021,Tripura,2305576,771107,3076683,
28/07/2021,Uttar Pradesh,38818078,7517474,46335552,
28/07/2021,Uttarakhand,4268481,1380203,5648684,
28/07/2021,West Bengal,20136326,8461201,28597527,
28/07/2021,Miscellaneous,1743954,1543824,3287778,
28/07/2021,Total,352545271,98160986,450706257,
29/07/2021,Andaman and Nicobar Islands,203975,90223,294198,
29/07/2021,Andhra Pradesh,15906353,5267794,21174147,
29/07/2021,Arunachal Pradesh,666567,170252,836819,
29/07/2021,Assam,8561411,1888652,10450063,
29/07/2021,Bihar,19912638,3752836,23665474,
29/07/2021,Chandigarh,603124,186231,789355,
29/07/2021,Chhattisgarh,9435658,2284932,11720590,
29/07/2021,Dadra and Nagar Haveli and Daman and Diu,546223,73618,619841,
29/07/2021,Delhi,7350096,2559680,9909776,
29/07/2021,Goa,1040080,264503,1304583,
29/07/2021,Gujarat,24873866,7762506,32636372,
29/07/2021,Haryana,9129894,2398465,11528359,
29/07/2021,Himachal Pradesh,3863935,1232645,5096580,
29/07/2021,Jammu and Kashmir,4844632,1261012,6105644,
29/07/2021,Jharkhand,7614875,1754306,9369181,
29/07/2021,Karnataka,23430814,6295325,29726139,
29/07/2021,Kerala,13465992,5805422,19271414,
29/07/2021,Ladakh,186751,66106,252857,
29/07/2021,Lakshadweep,50094,15613,65707,
29/07/2021,Madhya Pradesh,25909051,5001877,30910928,
29/07/2021,Maharashtra,32394275,10688664,43082939,
29/07/2021,Manipur,1088643,193741,1282384,
29/07/2021,Meghalaya,873728,189469,1063197,
29/07/2021,Mizoram,636054,191759,827813,
29/07/2021,Nagaland,611482,147091,758573,
29/07/2021,Odisha,12332766,3831467,16164233,
29/07/2021,Puducherry,561130,143376,704506,
29/07/2021,Punjab,7624457,1883270,9507727,
29/07/2021,Rajasthan,24540697,7210339,31751036,
29/07/2021,Sikkim,488841,146948,635789,
29/07/2021,Tamil Nadu,18311781,4016258,22328039,
29/07/2021,Telangana,11176337,3280505,14456842,
29/07/2021,Tripura,2326235,776570,3102805,
29/07/2021,Uttar Pradesh,39185216,7595764,46780980,
29/07/2021,Uttarakhand,4346685,1396549,5743234,
29/07/2021,West Bengal,20302311,8524617,28826928,
29/07/2021,Miscellaneous,1744072,1544630,3288702,
29/07/2021,Total,356140739,99893015,456033754,
30/07/2021,Andaman and Nicobar Islands,206031,90865,296896,
30/07/2021,Andhra Pradesh,15950895,5463942,21414837,
30/07/2021,Arunachal Pradesh,669044,172718,841762,
30/07/2021,Assam,8623808,1911166,10534974,
30/07/2021,Bihar,20160494,3814053,23974547,
30/07/2021,Chandigarh,608006,190362,798368,
30/07/2021,Chhattisgarh,9502737,2313099,11815836,
30/07/2021,Dadra and Nagar Haveli and Daman and Diu,550146,74152,624298,
30/07/2021,Delhi,7363608,2601930,9965538,
30/07/2021,Goa,1046130,268339,1314469,
30/07/2021,Gujarat,25140294,7849472,32989766,
30/07/2021,Haryana,9225127,2455477,11680604,
30/07/2021,Himachal Pradesh,3898168,1251022,5149190,
30/07/2021,Jammu and Kashmir,4876324,1287629,6163953,
30/07/2021,Jharkhand,7690077,1782023,9472100,
30/07/2021,Karnataka,23624164,6406425,30030589,
30/07/2021,Kerala,13812976,5970187,19783163,
30/07/2021,Ladakh,186894,67030,253924,
30/07/2021,Lakshadweep,50168,15821,65989,
30/07/2021,Madhya Pradesh,25960423,5010997,30971420,
30/07/2021,Maharashtra,32793470,10971677,43765147,
30/07/2021,Manipur,1097943,200435,1298378,
30/07/2021,Meghalaya,881177,195093,1076270,
30/07/2021,Mizoram,638084,195504,833588,
30/07/2021,Nagaland,614449,148726,763175,
30/07/2021,Odisha,12470540,3875372,16345912,
30/07/2021,Puducherry,565669,144330,709999,
30/07/2021,Punjab,7701664,1944988,9646652,
30/07/2021,Rajasthan,24702576,7338270,32040846,
30/07/2021,Sikkim,490105,147845,637950,
30/07/2021,Tamil Nadu,18560128,4105392,22665520,
30/07/2021,Telangana,11205562,3380353,14585915,
30/07/2021,Tripura,2343384,781356,3124740,
30/07/2021,Uttar Pradesh,39911639,7697281,47608920,
30/07/2021,Uttarakhand,4413594,1418451,5832045,
30/07/2021,West Bengal,20540439,8611188,29151627,
30/07/2021,Miscellaneous,1744376,1545196,3289572,
30/07/2021,Total,359820313,101698166,461518479,
31/07/2021,Andaman and Nicobar Islands,209696,91562,301258,
31/07/2021,Andhra Pradesh,16286343,5574356,21860699,
31/07/2021,Arunachal Pradesh,671928,174567,846495,
31/07/2021,Assam,8753397,1929881,10683278,
31/07/2021,Bihar,20664109,3893299,24557408,
31/07/2021,Chandigarh,642828,195378,838206,
31/07/2021,Chhattisgarh,9634947,2346318,11981265,
31/07/2021,Dadra and Nagar Haveli and Daman and Diu,556625,74817,631442,
31/07/2021,Delhi,7426572,2667257,10093829,
31/07/2021,Goa,1058023,272602,1330625,
31/07/2021,Gujarat,25450906,7942122,33393028,
31/07/2021,Haryana,9360154,2509706,11869860,
31/07/2021,Himachal Pradesh,3968620,1273524,5242144,
31/07/2021,Jammu and Kashmir,4953348,1310156,6263504,
31/07/2021,Jharkhand,7829987,1814073,9644060,
31/07/2021,Karnataka,23996153,6535671,30531824,
31/07/2021,Kerala,14160510,6059874,20220384,
31/07/2021,Ladakh,187393,67654,255047,
31/07/2021,Lakshadweep,50400,15984,66384,
31/07/2021,Madhya Pradesh,27007725,5172668,32180393,
31/07/2021,Maharashtra,33381464,11201257,44582721,
31/07/2021,Manipur,1112096,205543,1317639,
31/07/2021,Meghalaya,890842,198439,1089281,
31/07/2021,Mizoram,643821,196953,840774,
31/07/2021,Nagaland,617214,149233,766447,
31/07/2021,Odisha,12706320,3916566,16622886,
31/07/2021,Puducherry,574172,145528,719700,
31/07/2021,Punjab,7738387,1965727,9704114,
31/07/2021,Rajasthan,25250384,7499341,32749725,
31/07/2021,Sikkim,491205,148120,639325,
31/07/2021,Tamil Nadu,18965422,4211196,23176618,
31/07/2021,Telangana,11344451,3488581,14833032,
31/07/2021,Tripura,2375328,785291,3160619,
31/07/2021,Uttar Pradesh,40631196,7792225,48423421,
31/07/2021,Uttarakhand,4497424,1436698,5934122,
31/07/2021,West Bengal,20972394,8685073,29657467,
31/07/2021,Miscellaneous,1744376,1545196,3289572,
31/07/2021,Total,366806160,103492436,470298596,
01/08/2021,Andaman and Nicobar Islands,209744,91633,301377,
01/08/2021,Andhra Pradesh,16301408,5586517,21887925,
01/08/2021,Arunachal Pradesh,672715,174809,847524,
01/08/2021,Assam,8878074,1949091,10827165,
01/08/2021,Bihar,20782782,3919266,24702048,
01/08/2021,Chandigarh,646847,197592,844439,
01/08/2021,Chhattisgarh,9652189,2357947,12010136,
01/08/2021,Dadra and Nagar Haveli and Daman and Diu,557768,74936,632704,
01/08/2021,Delhi,7435141,2671573,10106714,
01/08/2021,Goa,1061081,274247,1335328,
01/08/2021,Gujarat,25456493,8284150,33740643,
01/08/2021,Haryana,9408116,2537782,11945898,
01/08/2021,Himachal Pradesh,3968676,1273577,5242253,
01/08/2021,Jammu and Kashmir,4981321,1324274,6305595,
01/08/2021,Jharkhand,7884163,1834865,9719028,
01/08/2021,Karnataka,24088034,6577674,30665708,
01/08/2021,Kerala,14285530,6085174,20370704,
01/08/2021,Ladakh,187397,67650,255047,
01/08/2021,Lakshadweep,50405,16001,66406,
01/08/2021,Madhya Pradesh,27053585,5175306,32228891,
01/08/2021,Maharashtra,33440863,11231791,44672654,
01/08/2021,Manipur,1114766,206019,1320785,
01/08/2021,Meghalaya,891007,198444,1089451,
01/08/2021,Mizoram,643958,197013,840971,
01/08/2021,Nagaland,617903,149873,767776,
01/08/2021,Odisha,12718069,3919719,16637788,
01/08/2021,Puducherry,574641,145668,720309,
01/08/2021,Punjab,7807511,2018435,9825946,
01/08/2021,Rajasthan,25284389,7530701,32815090,
01/08/2021,Sikkim,491204,148121,639325,
01/08/2021,Tamil Nadu,19066215,4241105,23307320,
01/08/2021,Telangana,11350666,3492640,14843306,
01/08/2021,Tripura,2378516,785848,3164364,
01/08/2021,Uttar Pradesh,40647594,7795548,48443142,
01/08/2021,Uttarakhand,4558159,1444775,6002934,
01/08/2021,West Bengal,21103280,8704093,29807373,
01/08/2021,Miscellaneous,1744376,1545196,3289572,
01/08/2021,Total,367994586,104229053,472223639,
02/08/2021,Andaman and Nicobar Islands,210578,92157,302735,
02/08/2021,Andhra Pradesh,16571130,5733624,22304754,
02/08/2021,Arunachal Pradesh,676044,176747,852791,
02/08/2021,Assam,9152495,1988471,11140966,
02/08/2021,Bihar,20930091,3962583,24892674,
02/08/2021,Chandigarh,651891,200327,852218,
02/08/2021,Chhattisgarh,9676922,2377418,12054340,
02/08/2021,Dadra and Nagar Haveli and Daman and Diu,561632,75344,636976,
02/08/2021,Delhi,7482004,2716719,10198723,
02/08/2021,Goa,1066012,277150,1343162,
02/08/2021,Gujarat,25739258,8357628,34096886,
02/08/2021,Haryana,9544153,2603329,12147482,
02/08/2021,Himachal Pradesh,4010124,1291559,5301683,
02/08/2021,Jammu and Kashmir,5032466,1356910,6389376,
02/08/2021,Jharkhand,7937169,1857795,9794964,
02/08/2021,Karnataka,24598271,6817379,31415650,
02/08/2021,Kerala,14568350,6153842,20722192,
02/08/2021,Ladakh,187602,68136,255738,
02/08/2021,Lakshadweep,50484,16165,66649,
02/08/2021,Madhya Pradesh,27784785,5292287,33077072,
02/08/2021,Maharashtra,33651161,11354508,45005669,
02/08/2021,Manipur,1122272,212251,1334523,
02/08/2021,Meghalaya,898677,202890,1101567,
02/08/2021,Mizoram,644980,198165,843145,
02/08/2021,Nagaland,620929,151394,772323,
02/08/2021,Odisha,12874877,3960859,16835736,
02/08/2021,Puducherry,577932,146476,724408,
02/08/2021,Punjab,7851551,2050687,9902238,
02/08/2021,Rajasthan,25554988,7749393,33304381,
02/08/2021,Sikkim,493353,148823,642176,
02/08/2021,Tamil Nadu,19338030,4302608,23640638,
02/08/2021,Telangana,11391724,3569232,14960956,
02/08/2021,Tripura,2384038,788884,3172922,
02/08/2021,Uttar Pradesh,40960377,7865902,48826279,
02/08/2021,Uttarakhand,4626002,1464021,6090023,
02/08/2021,West Bengal,21459942,8789496,30249438,
02/08/2021,Miscellaneous,1744632,1546029,3290661,
02/08/2021,Total,372626926,105917188,478544114,
03/08/2021,Andaman and Nicobar Islands,211569,92591,304160,
03/08/2021,Andhra Pradesh,16676939,5800487,22477426,
03/08/2021,Arunachal Pradesh,678343,178001,856344,
03/08/2021,Assam,9412807,2024421,11437228,
03/08/2021,Bihar,21003863,3998043,25001906,
03/08/2021,Chandigarh,659903,203429,863332,
03/08/2021,Chhattisgarh,9700054,2398202,12098256,
03/08/2021,Dadra and Nagar Haveli and Daman and Diu,565527,75705,641232,
03/08/2021,Delhi,7533336,2762066,10295402,
03/08/2021,Goa,1070429,279892,1350321,
03/08/2021,Gujarat,26001754,8432012,34433766,
03/08/2021,Haryana,9654335,2668016,12322351,
03/08/2021,Himachal Pradesh,4048894,1307623,5356517,
03/08/2021,Jammu and Kashmir,5073021,1380324,6453345,
03/08/2021,Jharkhand,7994584,1882306,9876890,
03/08/2021,Karnataka,24794539,6901931,31696470,
03/08/2021,Kerala,14805279,6204071,21009350,
03/08/2021,Ladakh,187750,68451,256201,
03/08/2021,Lakshadweep,50511,16256,66767,
03/08/2021,Madhya Pradesh,27866771,5303395,33170166,
03/08/2021,Maharashtra,33796696,11449384,45246080,
03/08/2021,Manipur,1128586,216777,1345363,
03/08/2021,Meghalaya,906139,207287,1113426,
03/08/2021,Mizoram,645846,198929,844775,
03/08/2021,Nagaland,623359,152765,776124,
03/08/2021,Odisha,13058068,4003379,17061447,
03/08/2021,Puducherry,581206,147273,728479,
03/08/2021,Punjab,7888965,2075548,9964513,
03/08/2021,Rajasthan,25765700,7864003,33629703,
03/08/2021,Sikkim,494090,149490,643580,
03/08/2021,Tamil Nadu,19560373,4356889,23917262,
03/08/2021,Telangana,11437302,3642994,15080296,
03/08/2021,Tripura,2389535,791715,3181250,
03/08/2021,Uttar Pradesh,43576972,8071927,51648899,
03/08/2021,Uttarakhand,4682678,1483173,6165851,
03/08/2021,West Bengal,21820114,8860725,30680839,
03/08/2021,Miscellaneous,1744760,1546493,3291253,
03/08/2021,Total,378090597,107195973,485286570,
04/08/2021,Andaman and Nicobar Islands,212573,93164,305737,
04/08/2021,Andhra Pradesh,16786413,5864146,22650559,
04/08/2021,Arunachal Pradesh,680809,179503,860312,
04/08/2021,Assam,9536378,2045789,11582167,
04/08/2021,Bihar,21325253,4080382,25405635,
04/08/2021,Chandigarh,664509,206091,870600,
04/08/2021,Chhattisgarh,9719395,2419105,12138500,
04/08/2021,Dadra and Nagar Haveli and Daman and Diu,568719,76092,644811,
04/08/2021,Delhi,7579306,2802327,10381633,
04/08/2021,Goa,1073972,282473,1356445,
04/08/2021,Gujarat,26008632,8437176,34445808,
04/08/2021,Haryana,9721455,2712313,12433768,
04/08/2021,Himachal Pradesh,4083812,1321716,5405528,
04/08/2021,Jammu and Kashmir,5094719,1392453,6487172,
04/08/2021,Jharkhand,8040727,1898453,9939180,
04/08/2021,Karnataka,24961662,6996807,31958469,
04/08/2021,Kerala,14882725,6231751,21114476,
04/08/2021,Ladakh,187861,68768,256629,
04/08/2021,Lakshadweep,50596,16436,67032,
04/08/2021,Madhya Pradesh,28300633,5400063,33700696,
04/08/2021,Maharashtra,33939611,11535313,45474924,
04/08/2021,Manipur,1135285,222872,1358157,
04/08/2021,Meghalaya,912096,211646,1123742,
04/08/2021,Mizoram,647051,200035,847086,
04/08/2021,Nagaland,625565,154008,779573,
04/08/2021,Odisha,13209524,4041771,17251295,
04/08/2021,Puducherry,585119,148023,733142,
04/08/2021,Punjab,7909863,2089873,9999736,
04/08/2021,Rajasthan,26006350,7953805,33960155,
04/08/2021,Sikkim,494904,149858,644762,
04/08/2021,Tamil Nadu,19764021,4438905,24202926,
04/08/2021,Telangana,11446097,3649818,15095915,
04/08/2021,Tripura,2393111,793578,3186689,
04/08/2021,Uttar Pradesh,44001463,8141787,52143250,
04/08/2021,Uttarakhand,4768700,1503537,6272237,
04/08/2021,West Bengal,22062392,8909045,30971437,
04/08/2021,Miscellaneous,1744974,1547138,3292112,
04/08/2021,Total,381126275,108216020,489342295,
05/08/2021,Andaman and Nicobar Islands,213457,93559,307016,
05/08/2021,Andhra Pradesh,16890073,5933974,22824047,
05/08/2021,Arunachal Pradesh,683272,181201,864473,
05/08/2021,Assam,9771011,2081986,11852997,
05/08/2021,Bihar,22023303,4213307,26236610,
05/08/2021,Chandigarh,669284,209048,878332,
05/08/2021,Chhattisgarh,9809273,2490679,12299952,
05/08/2021,Dadra and Nagar Haveli and Daman and Diu,572246,76700,648946,
05/08/2021,Delhi,7630307,2841491,10471798,
05/08/2021,Goa,1076956,285241,1362197,
05/08/2021,Gujarat,26472457,8549816,35022273,
05/08/2021,Haryana,9794090,2755751,12549841,
05/08/2021,Himachal Pradesh,4115581,1334173,5449754,
05/08/2021,Jammu and Kashmir,5139183,1414386,6553569,
05/08/2021,Jharkhand,8091432,1915991,10007423,
05/08/2021,Karnataka,25063401,7065860,32129261,
05/08/2021,Kerala,15033969,6269657,21303626,
05/08/2021,Ladakh,188002,69038,257040,
05/08/2021,Lakshadweep,50668,16587,67255,
05/08/2021,Madhya Pradesh,28655862,5509960,34165822,
05/08/2021,Maharashtra,34255431,11740060,45995491,
05/08/2021,Manipur,1139519,226845,1366364,
05/08/2021,Meghalaya,920145,216854,1136999,
05/08/2021,Mizoram,648930,201734,850664,
05/08/2021,Nagaland,627189,155313,782502,
05/08/2021,Odisha,13410210,4081043,17491253,
05/08/2021,Puducherry,588669,148747,737416,
05/08/2021,Punjab,7931055,2101165,10032220,
05/08/2021,Rajasthan,26172666,8030021,34202687,
05/08/2021,Sikkim,495935,150285,646220,
05/08/2021,Tamil Nadu,20013057,4498755,24511812,
05/08/2021,Telangana,11485703,3752796,15238499,
05/08/2021,Tripura,2396762,795888,3192650,
05/08/2021,Uttar Pradesh,44606802,8242205,52849007,
05/08/2021,Uttarakhand,4842769,1527641,6370410,
05/08/2021,West Bengal,22407281,8971103,31378384,
05/08/2021,Miscellaneous,1745100,1547685,3292785,
05/08/2021,Total,385631050,109696545,495327595,
06/08/2021,Andaman and Nicobar Islands,214334,93845,308179,
06/08/2021,Andhra Pradesh,17319963,6070806,23390769,
06/08/2021,Arunachal Pradesh,685988,182384,868372,
06/08/2021,Assam,9977914,2111716,12089630,
06/08/2021,Bihar,22501851,4294454,26796305,
06/08/2021,Chandigarh,679894,212902,892796,
06/08/2021,Chhattisgarh,9900079,2548382,12448461,
06/08/2021,Dadra and Nagar Haveli and Daman and Diu,576133,77418,653551,
06/08/2021,Delhi,7684071,2875606,10559677,
06/08/2021,Goa,1081299,288891,1370190,
06/08/2021,Gujarat,26979294,8652182,35631476,
06/08/2021,Haryana,9866525,2787979,12654504,
06/08/2021,Himachal Pradesh,4155025,1347806,5502831,
06/08/2021,Jammu and Kashmir,5175592,1428185,6603777,
06/08/2021,Jharkhand,8159801,1934303,10094104,
06/08/2021,Karnataka,25190326,7159957,32350283,
06/08/2021,Kerala,15231555,6329067,21560622,
06/08/2021,Ladakh,188226,69325,257551,
06/08/2021,Lakshadweep,50772,16719,67491,
06/08/2021,Madhya Pradesh,28719654,5519239,34238893,
06/08/2021,Maharashtra,34530719,11846167,46376886,
06/08/2021,Manipur,1146080,233275,1379355,
06/08/2021,Meghalaya,927352,221790,1149142,
06/08/2021,Mizoram,651442,204046,855488,
06/08/2021,Nagaland,629122,156391,785513,
06/08/2021,Odisha,13596312,4118650,17714962,
06/08/2021,Puducherry,592209,149524,741733,
06/08/2021,Punjab,7946711,2110645,10057356,
06/08/2021,Rajasthan,26474741,8145985,34620726,
06/08/2021,Sikkim,496921,150619,647540,
06/08/2021,Tamil Nadu,20257346,4563660,24821006,
06/08/2021,Telangana,11548293,3828778,15377071,
06/08/2021,Tripura,2402133,798053,3200186,
06/08/2021,Uttar Pradesh,44974649,8320884,53295533,
06/08/2021,Uttarakhand,4882205,1542125,6424330,
06/08/2021,West Bengal,22747208,9028218,31775426,
06/08/2021,Miscellaneous,1899821,1548073,3447894,
06/08/2021,Total,390041560,110968049,501009609,
07/08/2021,Andaman and Nicobar Islands,215022,94251,309273,
07/08/2021,Andhra Pradesh,17479763,6141743,23621506,
07/08/2021,Arunachal Pradesh,688074,183403,871477,
07/08/2021,Assam,10193016,2150461,12343477,
07/08/2021,Bihar,22973367,4405092,27378459,
07/08/2021,Chandigarh,686609,218231,904840,
07/08/2021,Chhattisgarh,9951155,2587136,12538291,
07/08/2021,Dadra and Nagar Haveli and Daman and Diu,580321,78889,659210,
07/08/2021,Delhi,7744261,2935475,10679736,
07/08/2021,Goa,1087386,295061,1382447,
07/08/2021,Gujarat,27466682,8751706,36218388,
07/08/2021,Haryana,9954064,2843185,12797249,
07/08/2021,Himachal Pradesh,4190275,1360958,5551233,
07/08/2021,Jammu and Kashmir,5237597,1456341,6693938,
07/08/2021,Jharkhand,8259824,1960995,10220819,
07/08/2021,Karnataka,25473050,7297493,32770543,
07/08/2021,Kerala,15416859,6365607,21782466,
07/08/2021,Ladakh,188426,69959,258385,
07/08/2021,Lakshadweep,50878,16861,67739,
07/08/2021,Madhya Pradesh,29224226,5642793,34867019,
07/08/2021,Maharashtra,34739849,11947723,46687572,
07/08/2021,Manipur,1150906,238463,1389369,
07/08/2021,Meghalaya,932563,226357,1158920,
07/08/2021,Mizoram,653314,204952,858266,
07/08/2021,Nagaland,629822,156980,786802,
07/08/2021,Odisha,13729615,4150724,17880339,
07/08/2021,Puducherry,596311,150447,746758,
07/08/2021,Punjab,8068067,2205009,10273076,
07/08/2021,Rajasthan,26715548,8245184,34960732,
07/08/2021,Sikkim,497154,150743,647897,
07/08/2021,Tamil Nadu,20519815,4619879,25139694,
07/08/2021,Telangana,11589795,3893872,15483667,
07/08/2021,Tripura,2405540,800129,3205669,
07/08/2021,Uttar Pradesh,45201804,8391745,53593549,
07/08/2021,Uttarakhand,5025325,1575317,6600642,
07/08/2021,West Bengal,22961883,9070602,32032485,
07/08/2021,Miscellaneous,1899985,1548575,3448560,
07/08/2021,Total,394378151,112432341,506810492,
08/08/2021,Andaman and Nicobar Islands,215077,94272,309349,
08/08/2021,Andhra Pradesh,17533276,6167861,23701137,
08/08/2021,Arunachal Pradesh,689352,183631,872983,
08/08/2021,Assam,10262204,2161640,12423844,
08/08/2021,Bihar,23190928,4447714,27638642,
08/08/2021,Chandigarh,690815,220658,911473,
08/08/2021,Chhattisgarh,9960587,2597535,12558122,
08/08/2021,Dadra and Nagar Haveli and Daman and Diu,581393,79477,660870,
08/08/2021,Delhi,7750023,2940832,10690855,
08/08/2021,Goa,1089647,298023,1387670,
08/08/2021,Gujarat,27638343,8961874,36600217,
08/08/2021,Haryana,10000745,2870952,12871697,
08/08/2021,Himachal Pradesh,4190561,1360987,5551548,
08/08/2021,Jammu and Kashmir,5270362,1469679,6740041,
08/08/2021,Jharkhand,8317319,1977828,10295147,
08/08/2021,Karnataka,25591995,7335688,32927683,
08/08/2021,Kerala,15472773,6370804,21843577,
08/08/2021,Ladakh,188426,69959,258385,
08/08/2021,Lakshadweep,50962,16951,67913,
08/08/2021,Madhya Pradesh,29251677,5649657,34901334,
08/08/2021,Maharashtra,34789942,11968889,46758831,
08/08/2021,Manipur,1153506,239140,1392646,
08/08/2021,Meghalaya,932764,226661,1159425,
08/08/2021,Mizoram,653446,204972,858418,
08/08/2021,Nagaland,630259,157175,787434,
08/08/2021,Odisha,13749535,4154065,17903600,
08/08/2021,Puducherry,597505,150743,748248,
08/08/2021,Punjab,8110573,2232985,10343558,
08/08/2021,Rajasthan,26798140,8286045,35084185,
08/08/2021,Sikkim,497154,150743,647897,
08/08/2021,Tamil Nadu,20642170,4642265,25284435,
08/08/2021,Telangana,11597340,3897011,15494351,
08/08/2021,Tripura,2406618,800317,3206935,
08/08/2021,Uttar Pradesh,45211784,8396910,53608694,
08/08/2021,Uttarakhand,5042017,1583476,6625493,
08/08/2021,West Bengal,23018390,9081172,32099562,
08/08/2021,Miscellaneous,1899985,1548575,3448560,
08/08/2021,Total,395667593,112997166,508664759,
09/08/2021,Andaman and Nicobar Islands,216053,94601,310654,
09/08/2021,Andhra Pradesh,17633289,6216600,23849889,
09/08/2021,Arunachal Pradesh,692532,186724,879256,
09/08/2021,Assam,10510804,2209605,12720409,
09/08/2021,Bihar,23366654,4488385,27855039,
