Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered,Precautionary Dose Administered
21/01/2021,Goa,426,0,426,
21/01/2021,Gujarat,34865,0,34865,
21/01/2021,Haryana,45893,0,45893,
21/01/2021,Himachal Pradesh,5790,0,5790,
21/01/2021,Jammu and Kashmir,6847,0,6847,
21/01/2021,Jharkhand,11641,0,11641,
21/01/2021,Karnataka,138807,0,138807,
21/01/2021,Kerala,35173,0,35173,
21/01/2021,Ladakh,240,0,240,
21/01/2021,Lakshadweep,369,0,369,
21/01/2021,Madhya Pradesh,38278,0,38278,
21/01/2021,Maharashtra,52393,0,52393,
21/01/2021,Manipur,1454,0,1454,
21/01/2021,Meghalaya,1785,0,1785,
21/01/2021,Mizoram,2537,0,2537,
21/01/2021,Nagaland,3187,0,3187,
21/01/2021,Odisha,113623,0,113623,
21/01/2021,Puducherry,759,0,759,
21/01/2021,Punjab,12532,0,12532,
21/01/2021,Rajasthan,32379,0,32379,
21/01/2021,Sikkim,773,0,773,
21/01/2021,Tamil Nadu,42947,0,42947,
21/01/2021,Telangana,97087,0,97087,
21/01/2021,Tripura,9272,0,9272,
21/01/2021,Uttar Pradesh,22644,0,22644,
21/01/2021,Uttarakhand,8206,0,8206,
21/01/2021,West Bengal,53988,0,53988,
21/01/2021,Miscellaneous,32297,0,32297,
21/01/2021,Total,1043534,0,1043534,
22/01/2021,Andaman and Nicobar Islands,1466,0,1466,
22/01/2021,Andhra Pradesh,133298,0,133298,
22/01/2021,Arunachal Pradesh,5956,0,5956,
22/01/2021,Assam,13881,0,13881,
22/01/2021,Bihar,63620,0,63620,
22/01/2021,Chandigarh,1157,0,1157,
22/01/2021,Chhattisgarh,22259,0,22259,
22/01/2021,Dadra and Nagar Haveli and Daman and Diu,356,0,356,
22/01/2021,Delhi,18844,0,18844,
22/01/2021,Goa,946,0,946,
22/01/2021,Gujarat,46150,0,46150,
22/01/2021,Haryana,62142,0,62142,
22/01/2021,Himachal Pradesh,9609,0,9609,
22/01/2021,Jammu and Kashmir,9827,0,9827,
22/01/2021,Jharkhand,14806,0,14806,
22/01/2021,Karnataka,184699,0,184699,
22/01/2021,Kerala,47293,0,47293,
22/01/2021,Ladakh,401,0,401,
22/01/2021,Lakshadweep,552,0,552,
22/01/2021,Madhya Pradesh,38278,0,38278,
22/01/2021,Maharashtra,74960,0,74960,
22/01/2021,Manipur,1923,0,1923,
22/01/2021,Meghalaya,2078,0,2078,
22/01/2021,Mizoram,3657,0,3657,
22/01/2021,Nagaland,3443,0,3443,
22/01/2021,Odisha,130007,0,130007,
22/01/2021,Puducherry,1097,0,1097,
22/01/2021,Punjab,21340,0,21340,
22/01/2021,Rajasthan,43947,0,43947,
22/01/2021,Sikkim,960,0,960,
22/01/2021,Tamil Nadu,51651,0,51651,
22/01/2021,Telangana,110031,0,110031,
